"AgeClass","GroupStat","GameType","NonEgalitarian","Egalitarian","N","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"3-4yos","Out-Group","Envy_Num",15,12,27,0.444444444444444,12,0.701108038425446,27,0.254798806631738,0.646735769677994,"Exact binomial test","two.sided"
"5-6yos","Out-Group","Envy_Num",7,31,38,0.815789473684211,31,0.000116167007945478,38,0.656738005689079,0.922573148161151,"Exact binomial test","two.sided"
"7-8yos","Out-Group","Envy_Num",7,42,49,0.857142857142857,42,0.000000362457832636666,49,0.727578487304402,0.940578494309687,"Exact binomial test","two.sided"
"3-4yos","In-Group","Envy_Num",13,10,23,0.434782608695652,10,0.677639484405518,23,0.231914199538231,0.655053392547625,"Exact binomial test","two.sided"
"5-6yos","In-Group","Envy_Num",15,21,36,0.583333333333333,21,0.405032246140763,36,0.407565240891777,0.744858951673532,"Exact binomial test","two.sided"
"7-8yos","In-Group","Envy_Num",11,45,56,0.803571428571429,45,0.00000537831811014969,56,0.675667014075886,0.897651697398921,"Exact binomial test","two.sided"
"3-4yos","Out-Group","Prosocial_Num",16,11,27,0.407407407407407,11,0.442068338394165,27,0.223897291350581,0.612016069740318,"Exact binomial test","two.sided"
"5-6yos","Out-Group","Prosocial_Num",20,18,38,0.473684210526316,18,0.871414679364533,38,0.309807301608208,0.641816563739496,"Exact binomial test","two.sided"
"7-8yos","Out-Group","Prosocial_Num",21,28,49,0.571428571428571,28,0.391602910547491,49,0.422104052035913,0.71180477575219,"Exact binomial test","two.sided"
"3-4yos","In-Group","Prosocial_Num",8,15,23,0.652173913043478,15,0.210039615631104,23,0.427343963036494,0.83623640162505,"Exact binomial test","two.sided"
"5-6yos","In-Group","Prosocial_Num",14,22,36,0.611111111111111,22,0.24298495403491,36,0.434638047448425,0.768575598337857,"Exact binomial test","two.sided"
"7-8yos","In-Group","Prosocial_Num",13,43,56,0.767857142857143,43,0.0000733321839694881,56,0.635815748349162,0.870207967213134,"Exact binomial test","two.sided"
"3-4yos","Out-Group","Share_Num",20,7,27,0.259259259259259,7,0.0191572904586792,27,0.111144562845442,0.462848742276171,"Exact binomial test","two.sided"
"5-6yos","Out-Group","Share_Num",30,8,38,0.210526315789474,8,0.000471986742923037,38,0.0955411154558743,0.373188283601639,"Exact binomial test","two.sided"
"7-8yos","Out-Group","Share_Num",43,6,49,0.122448979591837,6,0.0000000572776528429133,49,0.0462890310818958,0.247692968359683,"Exact binomial test","two.sided"
"3-4yos","In-Group","Share_Num",21,2,23,0.0869565217391304,2,0.0000660419464111328,23,0.0107099660378759,0.280379335909411,"Exact binomial test","two.sided"
"5-6yos","In-Group","Share_Num",28,8,36,0.222222222222222,8,0.00119324296247214,36,0.101150530344913,0.391517649157381,"Exact binomial test","two.sided"
"7-8yos","In-Group","Share_Num",31,25,56,0.446428571428571,25,0.504403760022825,56,0.313436083281583,0.585283337247543,"Exact binomial test","two.sided"
